year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
2170,,,.78821999,.79105777,.77686721,.78235388,.78894776,.78314638,.76536381,.79723299,.74280781,.7858147,.77558476,.76996768,.79163092,.76307935,.77132607,.77281225,.78099436,.74558276,.76814479,.62899125,.67679256,.76974839,.78870469,.76526904,.78611195,.75850898,.73635226,.75690377,.75527602,.7692169,2
2175,,,.78822374,.79106033,.77687174,.78235823,.78895158,.78315085,.76536882,.79723346,.74281424,.78581929,.77558249,.76997393,.79163194,.76307833,.77133125,.77281755,.78099871,.74558145,.76814991,.62898475,.67679459,.76974726,.78871024,.76526791,.78611612,.75850606,.7363528,.7569114,.75529319,.76923949,2
2180,,,.78822625,.79106182,.77687466,.78236091,.78895396,.78315371,.76537228,.79723364,.74281657,.78582203,.77557826,.76997811,.79163247,.76307684,.77133334,.77282065,.78100139,.74557954,.76815307,.62898022,.67678952,.76974553,.78871387,.76526636,.78611857,.75850463,.73635209,.75691736,.75530583,.76925528,2
2185,,,.78822714,.79106206,.77687567,.78236181,.78895473,.78315473,.76537365,.79723305,.74281573,.78582293,.77557391,.76998007,.79163247,.76307541,.77133298,.77282149,.78100228,.74557781,.76815408,.62897807,.67678159,.76974398,.78871548,.76526493,.78611928,.75850397,.73635101,.75692064,.75531512,.76926655,2
2190,,,.78822696,.7910614,.77687538,.78236145,.7889545,.78315443,.76537335,.79723191,.74281299,.78582257,.77557051,.76998037,.79163224,.76307446,.77133137,.77282089,.78100193,.74557662,.76815361,.62897748,.67677432,.76974285,.78871554,.76526397,.78611887,.7585035,.73635012,.75692165,.75532198,.76927519,2
2195,,,.78822625,.79106045,.77687448,.78236061,.78895372,.78315353,.76537222,.79723072,.74280971,.78582168,.77556843,.76997989,.79163188,.76307386,.7713294,.7728197,.78100109,.7455759,.76815248,.62897754,.67676961,.76974219,.78871489,.76526338,.78611791,.7585032,.7363497,.75692129,.75532699,.76928222,2
2200,,,.78822547,.79105961,.77687359,.78235978,.78895301,.78315264,.76537097,.79722977,.74280679,.78582084,.77556741,.76997924,.79163164,.76307362,.77132773,.77281851,.7810002,.74557561,.76815128,.62897766,.67676747,.76974183,.78871411,.76526314,.78611702,.7585029,.73634952,.75692052,.75533068,.76928794,2
2205,,,.78822494,.79105896,.77687293,.78235918,.78895247,.78315198,.76536989,.79722911,.74280459,.78582019,.775567,.76997876,.79163152,.7630735,.77132654,.77281761,.78099954,.74557543,.76815039,.62897766,.67676705,.76974171,.78871351,.76526302,.78611636,.75850266,.73634958,.7569198,.75533336,.76929229,2
2210,,,.78822464,.79105866,.77687258,.78235883,.78895217,.78315163,.76536918,.79722875,.74280328,.78581989,.77556694,.76997846,.79163146,.76307344,.77132589,.77281713,.78099924,.74557537,.76814991,.62897754,.67676747,.76974159,.7887131,.76526296,.78611606,.75850254,.73634958,.75691944,.75533533,.76929545,2
2215,,,.78822452,.79105854,.77687246,.78235871,.78895205,.78315151,.76536882,.79722857,.7428025,.78581977,.77556688,.76997846,.7916314,.76307338,.77132553,.7728169,.78099912,.74557531,.76814967,.62897742,.67676795,.76974154,.78871292,.7652629,.78611594,.75850248,.73634964,.75691938,.75533676,.7692976,2
2220,,,.78822452,.79105848,.77687246,.78235871,.78895205,.78315151,.7653687,.79722857,.74280208,.78581977,.77556682,.76997846,.7916314,.76307333,.77132535,.77281684,.78099906,.74557525,.76814961,.6289773,.6767683,.76974148,.78871286,.7652629,.78611588,.75850248,.73634964,.7569195,.75533777,.76929903,2
