year,age,edclass,race,sex,population,tmort,trate
1992,27,3,0,0,1038351.375,497.4270629882813,47.90546417236328
1992,28,0,0,0,4121286,5286,128.2609405517578
1992,28,1,0,0,3194770,4736.02734375,148.2431335449219
1992,28,3,0,0,926516,549.972412109375,59.35919189453125
1992,29,0,0,0,4518563,5637,124.7520523071289
1992,29,1,0,0,3481241.5,5101.1123046875,146.5314178466797
1992,29,3,0,0,1037321.75,535.8878173828125,51.66071319580078
1992,30,0,0,0,4560665,6109,133.9497680664063
1992,30,1,0,0,3493859,5487.5751953125,157.0634460449219
1992,30,3,0,0,1066806,621.4247436523438,58.25096130371094
1992,31,0,0,0,4452944,6476,145.4318695068359
1992,31,1,0,0,3397342.5,5803.595703125,170.8275146484375
1992,31,3,0,0,1055601.5,672.4041748046875,63.69867706298828
1992,32,0,0,0,4504151,6792,150.7942352294922
1992,32,1,0,0,3505382.25,6035.1337890625,172.1676330566406
1992,32,3,0,0,998768.875,756.8660278320313,75.77989959716797
1992,33,0,0,0,4415203,7220,163.5258941650391
1992,33,1,0,0,3449000.25,6386.65771484375,185.1741790771484
1992,33,3,0,0,966202.875,833.3424072265625,86.24921417236328
1992,34,0,0,0,4561390,7570,165.9581909179688
1992,34,1,0,0,3509351.25,6557.22021484375,186.8499298095703
1992,34,3,0,0,1052038.625,1012.780029296875,96.26833343505859
1992,35,0,0,0,4542339,8104,178.4102935791016
1992,35,1,0,0,3477107.5,7063.3525390625,203.1387481689453
1992,35,3,0,0,1065231.375,1040.647094726563,97.69211578369141
1992,36,0,0,0,4265487,8053,188.7943878173828
1992,36,1,0,0,3214442.5,6987.056640625,217.3644866943359
1992,36,3,0,0,1051044.875,1065.943359375,101.4174957275391
1992,37,0,0,0,4254666,8197,192.6590728759766
1992,37,1,0,0,3103234.5,6932.3671875,223.3916625976563
1992,37,3,0,0,1151431.25,1264.6328125,109.8313751220703
1992,38,0,0,0,3948302,8807,223.0579071044922
1992,38,1,0,0,2924833.5,7528.9501953125,257.4146728515625
1992,38,3,0,0,1023468.3125,1278.049926757813,124.8744049072266
1992,39,0,0,0,4173605,8928,213.9157867431641
1992,39,1,0,0,3046073,7554.3427734375,248.002685546875
1992,39,3,0,0,1127531.875,1373.657348632813,121.8286895751953
1992,40,0,0,0,4023993,9236,229.5232696533203
1992,40,1,0,0,3022280,7708.5771484375,255.0583343505859
1992,40,3,0,0,1001713,1527.422729492188,152.4810791015625
1992,41,0,0,0,3742583,9479,253.2742767333984
1992,41,1,0,0,2622710.25,7760.765625,295.9063415527344
1992,41,3,0,0,1119872.625,1718.234252929688,153.4312286376953
1992,42,0,0,0,3719159,9795,263.3659973144531
1992,42,1,0,0,2699424.5,7961.9833984375,294.9511413574219
1992,42,3,0,0,1019734.375,1833.016479492188,179.7543029785156
1992,43,0,0,0,3605587,10101,280.1485595703125
1992,43,1,0,0,2527050.25,8285.0537109375,327.854736328125
1992,43,3,0,0,1078536.625,1815.946166992188,168.3713073730469
1992,44,0,0,0,3700613,10590,286.1687927246094
1992,44,1,0,0,2616454.5,8650.3359375,330.6128845214844
1992,44,3,0,0,1084158.5,1939.6640625,178.9096374511719
1992,45,0,0,0,3927703,11479,292.25732421875
1992,45,1,0,0,2778609,9322.3388671875,335.5038146972656
1992,45,3,0,0,1149094.25,2156.6611328125,187.6835784912109
1992,46,0,0,0,2768369,10151,366.6780090332031
1992,46,1,0,0,2076418.25,8363.9072265625,402.8045654296875
1992,46,3,0,0,691950.8125,1787.0927734375,258.2687683105469
1992,47,0,0,0,2861469,10557,368.9363708496094
1992,47,1,0,0,2084929.875,8879.427734375,425.8861694335938
1992,47,3,0,0,776539,1677.572265625,216.0319366455078
1992,48,0,0,0,2743341,11426,416.4994506835938
1992,48,1,0,0,2083794.25,9555.615234375,458.5680847167969
1992,48,3,0,0,659546.8125,1870.38525390625,283.58642578125
1992,49,0,0,0,3111816,12920,415.191650390625
1992,49,1,0,0,2343218.5,10866.615234375,463.7474060058594
1992,49,3,0,0,768597.8125,2053.385009765625,267.1598815917969
1992,50,0,0,0,2684536,12655,471.4036254882813
1992,50,1,0,0,2109861,10826.830078125,513.1536865234375
1992,50,3,0,0,574675.125,1828.170532226563,318.1224365234375
1992,51,0,0,0,2451850,12770,520.8312377929688
1992,51,1,0,0,1883254.5,10876.873046875,577.5572509765625
1992,51,3,0,0,568595.5625,1893.127319335938,332.9479675292969
1992,52,0,0,0,2348659,13525,575.8605346679688
1992,52,1,0,0,1845760.5,11661.845703125,631.8179321289063
1992,52,3,0,0,502898.28125,1863.154052734375,370.4832763671875
1992,53,0,0,0,2324738,14348,617.1878051757813
1992,53,1,0,0,1816567.75,12375.3662109375,681.2499389648438
1992,53,3,0,0,508170.3125,1972.634033203125,388.1836547851563
1992,54,0,0,0,2325237,15199,653.65380859375
1992,54,1,0,0,1842718.25,13212.7021484375,717.0223999023438
1992,54,3,0,0,482518.875,1986.2978515625,411.65185546875
1992,55,0,0,0,2160401,16075,744.0748291015625
1992,55,1,0,0,1709553.375,13935.609375,815.1608276367188
1992,55,3,0,0,450847.6875,2139.39013671875,474.5261535644531
1992,56,0,0,0,2157799,17640,817.4996948242188
1992,56,1,0,0,1741115.5,15463.197265625,888.1201171875
1992,56,3,0,0,416683.625,2176.802490234375,522.4113159179688
1992,57,0,0,0,2197515,18902,860.1533813476563
1992,57,1,0,0,1799300.25,16524.25390625,918.37109375
1992,57,3,0,0,398214.90625,2377.746826171875,597.1014404296875
1992,58,0,0,0,1950851,20094,1030.012084960938
1992,58,1,0,0,1582719.25,17614.861328125,1112.94921875
1992,58,3,0,0,368131.8125,2479.1396484375,673.4380493164063
1992,59,0,0,0,2054334,21871,1064.627319335938
1992,59,1,0,0,1704170.875,19098.22265625,1120.67529296875
